,debt_to_income,loan_to_land,payment_history,savings_ratio,credit_utilization,prior_default,annual_income_log,drought_risk,soil_moisture,ndvi_current,ndvi_anomaly,rainfall_deviation,temperature_stress,flood_risk,climate_debt_stress,farmer_age,education_level,family_size,land_size_log,irrigation_access,insurance_coverage,crop_diversification,soil_health,market_distance_log,price_volatility,price_trend,repo_rate,wpi_inflation
debt_to_income,1.0,0.7600302212973472,-0.48247747153582543,-0.14620567812675142,0.7632152831375069,0.057511297766420236,0.00922497134419554,0.18734078266006637,-0.1643287265612853,-0.11134429819287966,-0.11040864149076002,-0.05034310822387633,0.12083935360594356,-0.004223090948798296,0.5640834366584127,-0.010783453925312932,-0.006823609932533762,0.015275129648589047,0.03962412563475196,-0.09795773775261656,-0.009509874011387266,0.007092906673492907,-0.08318688423580782,0.00017973569817984606,0.007962717689530231,-0.04770377148783844,0.032616024064312875,0.03173032097234876
loan_to_land,0.7600302212973472,1.0,-0.36045933351772075,-0.10768200324778454,0.5852820164853859,0.03891984201087253,0.3426143889660983,-0.06895945826101364,0.10861186551702566,0.09805760274308754,0.11333716864589326,0.028296470551205957,-0.043519743804030946,0.017622667915979186,0.24810975350377373,-0.0010417749106369648,-0.002172026835018088,0.013105968171872043,0.008372019529250305,0.20326718456029227,0.02809908771983022,-0.0022884231451852466,0.1334659886141201,-0.009984872854602424,-0.03574906646093433,0.017000061921975576,0.008676359315255615,0.017209128151705128
payment_history,-0.48247747153582543,-0.36045933351772075,1.0,0.07336231381897287,-0.3775837178139629,-0.05746079220571605,0.00034364878725875856,-0.10794945358457518,0.09453444537019906,0.06361335447733903,0.05746361790963366,0.027234787673500634,-0.08128640208586374,0.000858208615228764,-0.2840782182278556,-0.005812946099422272,-0.008844710729629056,-0.0031778616553517166,-0.022766445859527227,0.04485141911629008,0.021560016781373134,-0.005563322102778653,0.035865403343680866,-0.0077820933468938204,-0.12263213099481927,0.023685545146474064,-0.013987974687290027,-0.014241581846174634
savings_ratio,-0.14620567812675142,-0.10768200324778454,0.07336231381897287,1.0,-0.1365054711899879,-0.01961079749755123,0.0009220039389991286,-0.03409912458717862,0.03231471800085808,0.028461256743010692,0.02856831723075331,-0.008556712564602439,-0.0180042265598632,-0.002247275346854055,-0.09090263986350798,-0.014665657675990613,-0.00852599170456841,0.011302019402893137,-0.008340450213130337,0.011619431821771492,0.002959140710512856,-0.004877782744862978,0.018747226295733308,-0.010757559949239229,0.01422834070662797,0.025135311597008148,0.005509643206133886,-0.011089663733534642
credit_utilization,0.7632152831375069,0.5852820164853859,-0.3775837178139629,-0.1365054711899879,1.0,0.05452695354584751,0.016105041580664923,0.14012260705616827,-0.11929024402457987,-0.08384635747882035,-0.07899428763132593,-0.03416659583484404,0.08184787019040506,-0.00866109202084704,0.42618787457761736,-0.014194656615054396,0.003194095198637554,0.006725242084342947,0.0344704694820977,-0.06200555571496229,-0.0060028087555946295,0.020708795097329324,-0.059453519296180736,0.0037189624187845384,0.002086358927098728,-0.030232181424951245,0.025176416916772776,0.031016738230232616
prior_default,0.057511297766420236,0.03891984201087253,-0.05746079220571605,-0.01961079749755123,0.05452695354584751,1.0,-0.008078335413109424,0.02295383595444641,-0.01698415642380797,-0.0069237711251976235,0.004019153498728659,-0.014757856191265383,0.016046792653297847,-0.008361151654008256,0.03925059985259024,0.007247308600217239,0.00015156666308298748,0.013688969013320298,-0.0043449510027480515,0.005832822847134128,0.005021922170455726,-0.0010623689003419114,-0.016339103440903755,-0.0037061516682886466,0.016220975432028214,-0.0030381519508935065,0.007254818135827601,0.011227710357550484
annual_income_log,0.00922497134419554,0.3426143889660983,0.00034364878725875856,0.0009220039389991286,0.016105041580664923,-0.008078335413109424,1.0,-0.055505768660809994,0.09712322100672525,0.08286882122585457,0.09375191090357024,0.021365231837476673,-0.040574160380987066,0.010257361853890248,-0.05274048856089351,-0.003298002540816688,-0.008497273952117237,0.0043069891555568745,0.7946019480535407,0.20229256188137507,0.017599257923971663,0.09647099697933706,0.13221154425695392,-0.027693122872174115,-0.01074952103881633,0.0021966293608231225,-0.01669665088932878,-0.013437701315700183
drought_risk,0.18734078266006637,-0.06895945826101364,-0.10794945358457518,-0.03409912458717862,0.14012260705616827,0.02295383595444641,-0.055505768660809994,1.0,-0.8927220328224379,-0.6130378530191064,-0.6443930667115982,-0.3009997077932031,0.6081774131293559,-0.10483287148639062,0.8813605988978758,-0.014466669039174042,-0.007510538137935792,0.0122259362513713,0.1793835850241925,-0.5670658859843641,-0.06993326913171315,0.03258308812919954,-0.45875298295367134,-0.016692403859839732,0.1930904251509292,-0.2105295129481222,0.13160157705519088,0.10256325729262536
soil_moisture,-0.1643287265612853,0.10861186551702566,0.09453444537019906,0.03231471800085808,-0.11929024402457987,-0.01698415642380797,0.09712322100672525,-0.8927220328224379,1.0,0.639415554778389,0.642517301097716,0.2673645761885418,-0.5467400746146417,0.09380204692310397,-0.7924222530570906,0.00993168779358671,0.004052915081794869,-0.01570468579077298,-0.15312028949704806,0.688536739587428,0.07753000443571499,-0.023284918003940756,0.5512334055424054,0.013538899153459905,-0.16884232248143027,0.19215823591881595,-0.09964217959096654,-0.07784329323175311
ndvi_current,-0.11134429819287966,0.09805760274308754,0.06361335447733903,0.028461256743010692,-0.08384635747882035,-0.0069237711251976235,0.08286882122585457,-0.6130378530191064,0.639415554778389,1.0,0.7635290045160782,0.18865630898016894,-0.36865549968791667,0.05910440042350626,-0.5726645243756422,0.014009384436819804,0.0021313588577832362,-0.012782556916877826,-0.10809905824373528,0.5550060155889733,0.0666912293235238,-0.021887357920627952,0.413272416404128,0.02395393941339019,-0.11890585591254499,0.14138636714749042,-0.049839711544370495,-0.03772560921446264
