split,model,fpr,tpr
Random test,Logistic regression,0.07982893799002139,0.2131979695431472
Random test,Logistic regression,0.08267997148966501,0.2131979695431472
Random test,Logistic regression,0.08267997148966501,0.2182741116751269
Random test,Logistic regression,0.08410548823948681,0.2182741116751269
Random test,Logistic regression,0.08410548823948681,0.2233502538071066
Random test,Logistic regression,0.08909479686386315,0.2233502538071066
Random test,Logistic regression,0.08909479686386315,0.22842639593908629
Random test,Logistic regression,0.09052031361368496,0.22842639593908629
Random test,Logistic regression,0.09052031361368496,0.2436548223350254
Random test,Logistic regression,0.0955096222380613,0.2436548223350254
Random test,Logistic regression,0.0955096222380613,0.24873096446700507
Random test,Logistic regression,0.09978617248752673,0.24873096446700507
Random test,Logistic regression,0.09978617248752673,0.25380710659898476
Random test,Logistic regression,0.10263720598717035,0.25380710659898476
Random test,Logistic regression,0.10263720598717035,0.25888324873096447
Random test,Logistic regression,0.1083392729864576,0.25888324873096447
Random test,Logistic regression,0.1083392729864576,0.26903553299492383
Random test,Logistic regression,0.1097647897362794,0.26903553299492383
Random test,Logistic regression,0.1097647897362794,0.27411167512690354
Random test,Logistic regression,0.1104775481111903,0.27411167512690354
Random test,Logistic regression,0.1104775481111903,0.27918781725888325
Random test,Logistic regression,0.11190306486101212,0.27918781725888325
Random test,Logistic regression,0.11190306486101212,0.28426395939086296
Random test,Logistic regression,0.11689237348538846,0.28426395939086296
Random test,Logistic regression,0.11689237348538846,0.2893401015228426
Random test,Logistic regression,0.11831789023521026,0.2893401015228426
Random test,Logistic regression,0.11831789023521026,0.29441624365482233
Random test,Logistic regression,0.12544547398431932,0.29441624365482233
Random test,Logistic regression,0.12544547398431932,0.29949238578680204
Random test,Logistic regression,0.1347113328581611,0.29949238578680204
Random test,Logistic regression,0.1347113328581611,0.30456852791878175
Random test,Logistic regression,0.1368496079828938,0.30456852791878175
Random test,Logistic regression,0.1368496079828938,0.3096446700507614
Random test,Logistic regression,0.14540270848182466,0.3096446700507614
Random test,Logistic regression,0.14540270848182466,0.3147208121827411
Random test,Logistic regression,0.1482537419814683,0.3147208121827411
Random test,Logistic regression,0.1482537419814683,0.3197969543147208
Random test,Logistic regression,0.15466856735566642,0.3197969543147208
Random test,Logistic regression,0.15466856735566642,0.3299492385786802
Random test,Logistic regression,0.15538132573057734,0.3299492385786802
Random test,Logistic regression,0.15538132573057734,0.3350253807106599
Random test,Logistic regression,0.1632216678545973,0.3350253807106599
Random test,Logistic regression,0.1632216678545973,0.3401015228426396
Random test,Logistic regression,0.1646471846044191,0.3401015228426396
Random test,Logistic regression,0.1646471846044191,0.34517766497461927
Random test,Logistic regression,0.16535994297933002,0.34517766497461927
Random test,Logistic regression,0.16535994297933002,0.350253807106599
Random test,Logistic regression,0.17462580185317178,0.350253807106599
Random test,Logistic regression,0.17462580185317178,0.3553299492385787
Random test,Logistic regression,0.17605131860299358,0.3553299492385787
Random test,Logistic regression,0.17605131860299358,0.3604060913705584
Random test,Logistic regression,0.17890235210263722,0.3604060913705584
Random test,Logistic regression,0.17890235210263722,0.36548223350253806
Random test,Logistic regression,0.18032786885245902,0.36548223350253806
Random test,Logistic regression,0.18032786885245902,0.37055837563451777
Random test,Logistic regression,0.1810406272273699,0.37055837563451777
Random test,Logistic regression,0.1810406272273699,0.38578680203045684
Random test,Logistic regression,0.18246614397719174,0.38578680203045684
Random test,Logistic regression,0.18246614397719174,0.39086294416243655
Random test,Logistic regression,0.1903064861012117,0.39086294416243655
Random test,Logistic regression,0.1903064861012117,0.39593908629441626
Random test,Logistic regression,0.1910192444761226,0.39593908629441626
Random test,Logistic regression,0.1910192444761226,0.4010152284263959
Random test,Logistic regression,0.1917320028510335,0.4010152284263959
Random test,Logistic regression,0.1917320028510335,0.40609137055837563
Random test,Logistic regression,0.20242337847469707,0.40609137055837563
Random test,Logistic regression,0.20242337847469707,0.41116751269035534
Random test,Logistic regression,0.2066999287241625,0.41116751269035534
Random test,Logistic regression,0.2066999287241625,0.4213197969543147
Random test,Logistic regression,0.20883820384889523,0.4213197969543147
Random test,Logistic regression,0.20883820384889523,0.4263959390862944
Random test,Logistic regression,0.21454027084818247,0.4263959390862944
Random test,Logistic regression,0.21454027084818247,0.43147208121827413
Random test,Logistic regression,0.21525302922309336,0.43147208121827413
Random test,Logistic regression,0.21525302922309336,0.4365482233502538
Random test,Logistic regression,0.22594440484675696,0.4365482233502538
Random test,Logistic regression,0.22594440484675696,0.4416243654822335
Random test,Logistic regression,0.22665716322166785,0.4416243654822335
Random test,Logistic regression,0.22665716322166785,0.4467005076142132
Random test,Logistic regression,0.22879543834640056,0.4467005076142132
Random test,Logistic regression,0.22879543834640056,0.4517766497461929
Random test,Logistic regression,0.23093371347113328,0.4517766497461929
Random test,Logistic regression,0.23093371347113328,0.45685279187817257
Random test,Logistic regression,0.2323592302209551,0.45685279187817257
Random test,Logistic regression,0.2323592302209551,0.4619289340101523
Random test,Logistic regression,0.23378474697077692,0.4619289340101523
Random test,Logistic regression,0.23378474697077692,0.467005076142132
Random test,Logistic regression,0.23663578047042053,0.467005076142132
Random test,Logistic regression,0.23663578047042053,0.4720812182741117
Random test,Logistic regression,0.2459016393442623,0.4720812182741117
Random test,Logistic regression,0.2459016393442623,0.47715736040609136
Random test,Logistic regression,0.2466143977191732,0.47715736040609136
Random test,Logistic regression,0.2466143977191732,0.48223350253807107
Random test,Logistic regression,0.25160370634354956,0.48223350253807107
Random test,Logistic regression,0.25160370634354956,0.49238578680203043
Random test,Logistic regression,0.26300784034212404,0.49238578680203043
Random test,Logistic regression,0.26300784034212404,0.5076142131979695
Random test,Logistic regression,0.26585887384176765,0.5076142131979695
Random test,Logistic regression,0.26585887384176765,0.5126903553299492
Random test,Logistic regression,0.2765502494654312,0.5126903553299492
Random test,Logistic regression,0.2765502494654312,0.5228426395939086
Random test,Logistic regression,0.27797576621525305,0.5228426395939086
Random test,Logistic regression,0.27797576621525305,0.5329949238578681
Random test,Logistic regression,0.28367783321454026,0.5329949238578681
Random test,Logistic regression,0.28367783321454026,0.5431472081218274
Random test,Logistic regression,0.30434782608695654,0.5431472081218274
Random test,Logistic regression,0.30434782608695654,0.5482233502538071
Random test,Logistic regression,0.31290092658588736,0.5482233502538071
Random test,Logistic regression,0.31290092658588736,0.5532994923857868
Random test,Logistic regression,0.32002851033499646,0.5532994923857868
Random test,Logistic regression,0.32002851033499646,0.5583756345177665
Random test,Logistic regression,0.32216678545972915,0.5583756345177665
Random test,Logistic regression,0.32216678545972915,0.5634517766497462
Random test,Logistic regression,0.32501781895937276,0.5634517766497462
Random test,Logistic regression,0.32501781895937276,0.5685279187817259
Random test,Logistic regression,0.33642195295794725,0.5685279187817259
Random test,Logistic regression,0.33642195295794725,0.5736040609137056
Random test,Logistic regression,0.3406985032074127,0.5736040609137056
Random test,Logistic regression,0.3406985032074127,0.5786802030456852
Random test,Logistic regression,0.3414112615823236,0.5786802030456852
Random test,Logistic regression,0.3414112615823236,0.583756345177665
Random test,Logistic regression,0.3435495367070563,0.583756345177665
Random test,Logistic regression,0.3435495367070563,0.5888324873096447
Random test,Logistic regression,0.3442622950819672,0.5888324873096447
Random test,Logistic regression,0.3442622950819672,0.5939086294416244
Random test,Logistic regression,0.34853884533143265,0.5939086294416244
Random test,Logistic regression,0.34853884533143265,0.5989847715736041
Random test,Logistic regression,0.3499643620812545,0.5989847715736041
Random test,Logistic regression,0.3499643620812545,0.6040609137055838
Random test,Logistic regression,0.35210263720598717,0.6040609137055838
Random test,Logistic regression,0.35210263720598717,0.6091370558375635
Random test,Logistic regression,0.3677833214540271,0.6091370558375635
Random test,Logistic regression,0.3677833214540271,0.6142131979695431
Random test,Logistic regression,0.3706343549536707,0.6142131979695431
Random test,Logistic regression,0.3706343549536707,0.6192893401015228
Random test,Logistic regression,0.3734853884533143,0.6192893401015228
Random test,Logistic regression,0.3734853884533143,0.6243654822335025
Random test,Logistic regression,0.3799002138275125,0.6243654822335025
Random test,Logistic regression,0.3799002138275125,0.6294416243654822
Random test,Logistic regression,0.39059158945117606,0.6294416243654822
Random test,Logistic regression,0.39059158945117606,0.6345177664974619
Random test,Logistic regression,0.391304347826087,0.6345177664974619
Random test,Logistic regression,0.391304347826087,0.6395939086294417
Random test,Logistic regression,0.3948681397006415,0.6395939086294417
Random test,Logistic regression,0.3948681397006415,0.6446700507614214
Random test,Logistic regression,0.398431931575196,0.6446700507614214
Random test,Logistic regression,0.398431931575196,0.649746192893401
Random test,Logistic regression,0.40484675694939415,0.649746192893401
Random test,Logistic regression,0.40484675694939415,0.6548223350253807
Random test,Logistic regression,0.4069850320741269,0.6548223350253807
Random test,Logistic regression,0.4069850320741269,0.6598984771573604
Random test,Logistic regression,0.40841054882394867,0.6598984771573604
Random test,Logistic regression,0.40841054882394867,0.6649746192893401
Random test,Logistic regression,0.4233784746970777,0.6649746192893401
Random test,Logistic regression,0.4233784746970777,0.6700507614213198
Random test,Logistic regression,0.4276550249465431,0.6700507614213198
Random test,Logistic regression,0.4276550249465431,0.6751269035532995
Random test,Logistic regression,0.4305060584461867,0.6751269035532995
Random test,Logistic regression,0.4305060584461867,0.6802030456852792
Random test,Logistic regression,0.43406985032074125,0.6802030456852792
Random test,Logistic regression,0.43406985032074125,0.6903553299492385
Random test,Logistic regression,0.44476122594440487,0.6903553299492385
Random test,Logistic regression,0.44476122594440487,0.700507614213198
Random test,Logistic regression,0.4483250178189594,0.700507614213198
Random test,Logistic regression,0.4483250178189594,0.7055837563451777
Random test,Logistic regression,0.45830363506771205,0.7055837563451777
Random test,Logistic regression,0.45830363506771205,0.7106598984771574
Random test,Logistic regression,0.4625801853171775,0.7106598984771574
Random test,Logistic regression,0.4625801853171775,0.7157360406091371
Random test,Logistic regression,0.46970776906628653,0.7157360406091371
Random test,Logistic regression,0.46970776906628653,0.7208121827411168
Random test,Logistic regression,0.4932287954383464,0.7208121827411168
Random test,Logistic regression,0.4932287954383464,0.7258883248730964
Random test,Logistic regression,0.49394155381325733,0.7258883248730964
Random test,Logistic regression,0.49394155381325733,0.7309644670050761
Random test,Logistic regression,0.49607982893799,0.7309644670050761
Random test,Logistic regression,0.49607982893799,0.7360406091370558
Random test,Logistic regression,0.5081967213114754,0.7360406091370558
Random test,Logistic regression,0.5081967213114754,0.7461928934010152
Random test,Logistic regression,0.5089094796863863,0.7461928934010152
Random test,Logistic regression,0.5089094796863863,0.751269035532995
Random test,Logistic regression,0.5402708481824662,0.751269035532995
Random test,Logistic regression,0.5402708481824662,0.7563451776649747
Random test,Logistic regression,0.5488239486813971,0.7563451776649747
Random test,Logistic regression,0.5488239486813971,0.7614213197969543
Random test,Logistic regression,0.5495367070563079,0.7614213197969543
Random test,Logistic regression,0.5495367070563079,0.766497461928934
Random test,Logistic regression,0.5523877405559515,0.766497461928934
Random test,Logistic regression,0.5523877405559515,0.7715736040609137
Random test,Logistic regression,0.5645046329294369,0.7715736040609137
Random test,Logistic regression,0.5645046329294369,0.7817258883248731
Random test,Logistic regression,0.5652173913043478,0.7817258883248731
Random test,Logistic regression,0.5652173913043478,0.7868020304568528
Random test,Logistic regression,0.5659301496792587,0.7868020304568528
Random test,Logistic regression,0.5659301496792587,0.8020304568527918
Random test,Logistic regression,0.5673556664290805,0.8020304568527918
Random test,Logistic regression,0.5673556664290805,0.8121827411167513
Random test,Logistic regression,0.5780470420527442,0.8121827411167513
Random test,Logistic regression,0.5780470420527442,0.817258883248731
Random test,Logistic regression,0.5837491090520314,0.817258883248731
Random test,Logistic regression,0.5837491090520314,0.8223350253807107
Random test,Logistic regression,0.5844618674269423,0.8223350253807107
Random test,Logistic regression,0.5844618674269423,0.8274111675126904
Random test,Logistic regression,0.6001425516749822,0.8274111675126904
Random test,Logistic regression,0.6001425516749822,0.8324873096446701
Random test,Logistic regression,0.6265146115466856,0.8324873096446701
Random test,Logistic regression,0.6265146115466856,0.8375634517766497
Random test,Logistic regression,0.6364932287954383,0.8375634517766497
Random test,Logistic regression,0.6364932287954383,0.8426395939086294
Random test,Logistic regression,0.6436208125445474,0.8426395939086294
Random test,Logistic regression,0.6436208125445474,0.8477157360406091
Random test,Logistic regression,0.6671418389166073,0.8477157360406091
Random test,Logistic regression,0.6671418389166073,0.8527918781725888
Random test,Logistic regression,0.6728439059158945,0.8527918781725888
Random test,Logistic regression,0.6728439059158945,0.8578680203045685
Random test,Logistic regression,0.6735566642908054,0.8578680203045685
Random test,Logistic regression,0.6735566642908054,0.8629441624365483
Random test,Logistic regression,0.6963649322879544,0.8629441624365483
Random test,Logistic regression,0.6963649322879544,0.868020304568528
Random test,Logistic regression,0.7056307911617962,0.868020304568528
Random test,Logistic regression,0.7056307911617962,0.8730964467005076
Random test,Logistic regression,0.7106200997861725,0.8730964467005076
Random test,Logistic regression,0.7106200997861725,0.8781725888324873
Random test,Logistic regression,0.7134711332858161,0.8781725888324873
Random test,Logistic regression,0.7134711332858161,0.883248730964467
Random test,Logistic regression,0.7170349251603706,0.883248730964467
Random test,Logistic regression,0.7170349251603706,0.8934010152284264
Random test,Logistic regression,0.7205987170349252,0.8934010152284264
Random test,Logistic regression,0.7205987170349252,0.8984771573604061
Random test,Logistic regression,0.7255880256593015,0.8984771573604061
Random test,Logistic regression,0.7255880256593015,0.9035532994923858
Random test,Logistic regression,0.7320028510334996,0.9035532994923858
Random test,Logistic regression,0.7320028510334996,0.9086294416243654
Random test,Logistic regression,0.7419814682822523,0.9086294416243654
Random test,Logistic regression,0.7419814682822523,0.9137055837563451
Random test,Logistic regression,0.7626514611546685,0.9137055837563451
Random test,Logistic regression,0.7626514611546685,0.9187817258883249
Random test,Logistic regression,0.7811831789023521,0.9187817258883249
Random test,Logistic regression,0.7811831789023521,0.9238578680203046
Random test,Logistic regression,0.8161083392729864,0.9238578680203046
Random test,Logistic regression,0.8161083392729864,0.9289340101522843
Random test,Logistic regression,0.8303635067712045,0.9289340101522843
Random test,Logistic regression,0.8303635067712045,0.934010152284264
Random test,Logistic regression,0.8353528153955809,0.934010152284264
Random test,Logistic regression,0.8353528153955809,0.9390862944162437
Random test,Logistic regression,0.8439059158945118,0.9390862944162437
Random test,Logistic regression,0.8439059158945118,0.9441624365482234
Random test,Logistic regression,0.8474697077690663,0.9441624365482234
Random test,Logistic regression,0.8474697077690663,0.949238578680203
Random test,Logistic regression,0.8503207412687099,0.949238578680203
Random test,Logistic regression,0.8503207412687099,0.9543147208121827
Random test,Logistic regression,0.8638631503920171,0.9543147208121827
Random test,Logistic regression,0.8638631503920171,0.9593908629441624
Random test,Logistic regression,0.8667141838916608,0.9593908629441624
Random test,Logistic regression,0.8667141838916608,0.9695431472081218
Random test,Logistic regression,0.8880969351389879,0.9695431472081218
Random test,Logistic regression,0.8880969351389879,0.9746192893401016
Random test,Logistic regression,0.9265858873841768,0.9746192893401016
Random test,Logistic regression,0.9265858873841768,0.9796954314720813
Random test,Logistic regression,0.9657875980042766,0.9796954314720813
Random test,Logistic regression,0.9657875980042766,0.9847715736040609
Random test,Logistic regression,0.9672131147540983,0.9847715736040609
Random test,Logistic regression,0.9672131147540983,0.9898477157360406
Random test,Logistic regression,0.977904490377762,0.9898477157360406
Random test,Logistic regression,0.977904490377762,0.9949238578680203
Random test,Logistic regression,0.9828937990021382,0.9949238578680203
Random test,Logistic regression,0.9828937990021382,1.0
Random test,Logistic regression,1.0,1.0
Random test,Random forest,0.0,0.0
Random test,Random forest,0.0007127583749109052,0.0
Random test,Random forest,0.0007127583749109052,0.015228426395939087
Random test,Random forest,0.012116892373485389,0.015228426395939087
Random test,Random forest,0.012116892373485389,0.02030456852791878
Random test,Random forest,0.014255167498218105,0.02030456852791878
Random test,Random forest,0.014255167498218105,0.030456852791878174
Random test,Random forest,0.015680684248039915,0.030456852791878174
Random test,Random forest,0.015680684248039915,0.03553299492385787
Random test,Random forest,0.01639344262295082,0.03553299492385787
Random test,Random forest,0.01639344262295082,0.04060913705583756
Random test,Random forest,0.017106200997861726,0.04060913705583756
Random test,Random forest,0.017106200997861726,0.050761421319796954
Random test,Random forest,0.01924447612259444,0.050761421319796954
Random test,Random forest,0.01924447612259444,0.05583756345177665
Random test,Random forest,0.022095509622238062,0.05583756345177665
Random test,Random forest,0.022095509622238062,0.06598984771573604
Random test,Random forest,0.022808267997148968,0.06598984771573604
Random test,Random forest,0.022808267997148968,0.07614213197969544
Random test,Random forest,0.023521026372059873,0.07614213197969544
Random test,Random forest,0.023521026372059873,0.08121827411167512
Random test,Random forest,0.027797576621525304,0.08121827411167512
Random test,Random forest,0.027797576621525304,0.08629441624365482
Random test,Random forest,0.03207412687099073,0.08629441624365482
Random test,Random forest,0.03207412687099073,0.09644670050761421
Random test,Random forest,0.03349964362081254,0.09644670050761421
Random test,Random forest,0.03349964362081254,0.10152284263959391
Random test,Random forest,0.036350677120456164,0.10152284263959391
Random test,Random forest,0.036350677120456164,0.1065989847715736
Random test,Random forest,0.03991446899501069,0.1065989847715736
Random test,Random forest,0.03991446899501069,0.1116751269035533
Random test,Random forest,0.042052744119743406,0.1116751269035533
Random test,Random forest,0.042052744119743406,0.116751269035533
Random test,Random forest,0.04632929436920884,0.116751269035533
Random test,Random forest,0.04632929436920884,0.12690355329949238
